Company Name,Ticker
3M India Ltd.,3MINDIA
ABB India Ltd.,ABB
ACC Ltd.,ACC
AIA Engineering Ltd.,AIAENG
APL Apollo Tubes Ltd.,APLAPOLLO
AU Small Finance Bank Ltd.,AUBANK
Aarti Drugs Ltd.,AARTIDRUGS
Aavas Financiers Ltd.,AAVAS
Abbott India Ltd.,ABBOTINDIA
Adani Enterprises Ltd.,ADANIENT
Adani Green Energy Ltd.,ADANIGREEN
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS
Adani Total Gas Ltd.,ATGL
Adani Transmission Ltd.,ADANITRANS
Aditya Birla Capital Ltd.,ABCAPITAL
Aditya Birla Fashion and Retail Ltd.,ABFRL
Aditya Birla Sun Life AMC Ltd.,ABSLAMC
Advanced Enzyme Tech Ltd.,ADVENZYMES
Aegis Logistics Ltd.,AEGISCHEM
Affle (India) Ltd.,AFFLE
Ajanta Pharmaceuticals Ltd.,AJANTPHARM
Alembic Pharmaceuticals Ltd.,APLLTD
Alkem Laboratories Ltd.,ALKEM
Alkyl Amines Chemicals Ltd.,ALKYLAMINE
Allcargo Logistics Ltd.,ALLCARGO
Alok Industries Ltd.,ALOKINDS
Amara Raja Batteries Ltd.,AMARAJABAT
Amber Enterprises India Ltd.,AMBER
Ambuja Cements Ltd.,AMBUJACEM
Angel One Ltd.,ANGELONE
Anupam Rasayan India Ltd.,ANURAS
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP
Apollo Tyres Ltd.,APOLLOTYRE
Aptus Value Housing Finance India Ltd.,APTUS
Asahi India Glass Ltd.,ASAHIINDIA
Ashok Leyland Ltd.,ASHOKLEY
Asian Paints Ltd.,ASIANPAINT
Aster DM Healthcare Ltd.,ASTERDM
AstraZenca Pharma India Ltd.,ASTRAZEN
Astral Ltd.,ASTRAL
Atul Ltd.,ATUL
Aurobindo Pharma Ltd.,AUROPHARMA
Avanti Feeds Ltd.,AVANTIFEED
Avenue Supermarts Ltd.,DMART
Axis Bank Ltd.,AXISBANK
BASF India Ltd.,BASF
BSE Ltd.,BSE
Bajaj Auto Ltd.,BAJAJ-AUTO
Bajaj Electricals Ltd,BAJAJELEC
Bajaj Finance Ltd.,BAJFINANCE
Bajaj Finserv Ltd.,BAJAJFINSV
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG
Balaji Amines Ltd.,BALAMINES
Balkrishna Industries Ltd.,BALKRISIND
Balrampur Chini Mills Ltd.,BALRAMCHIN
Bandhan Bank Ltd.,BANDHANBNK
Bank of Baroda,BANKBARODA
Bank of India,BANKINDIA
Bank of Maharashtra,MAHABANK
Bata India Ltd.,BATAINDIA
Bayer Cropscience Ltd.,BAYERCROP
Berger Paints India Ltd.,BERGEPAINT
Bharat Dynamics Ltd.,BDL
Bharat Electronics Ltd.,BEL
Bharat Forge Ltd.,BHARATFORG
Bharat Heavy Electricals Ltd.,BHEL
Bharat Petroleum Corporation Ltd.,BPCL
Bharti Airtel Ltd.,BHARTIARTL
Biocon Ltd.,BIOCON
Birla Corporation Ltd.,BIRLACORPN
Birlasoft Ltd.,BSOFT
Blue Dart Express Ltd.,BLUEDART
Blue Star Ltd.,BLUESTARCO
Bombay Burmah Trading Corporation Ltd.,BBTC
Borosil Renewables Ltd.,BORORENEW
Bosch Ltd.,BOSCHLTD
Brigade Enterprises Ltd.,BRIGADE
Brightcom Group Ltd.,BCG
Britannia Industries Ltd.,BRITANNIA
C.E. Info Systems Ltd.,MAPMYINDIA
CCL Products (I) Ltd.,CCL
CESC Ltd.,CESC
CG Power and Industrial Solutions Ltd.,CGPOWER
CRISIL Ltd.,CRISIL
CSB Bank Ltd.,CSBBANK
Can Fin Homes Ltd.,CANFINHOME
Canara Bank,CANBK
Caplin Point Laboratories Ltd.,CAPLIPOINT
Capri Global Capital Ltd.,CGCL
Carborundum Universal Ltd.,CARBORUNIV
Castrol India Ltd.,CASTROLIND
Ceat Ltd.,CEATLTD
Central Bank of India,CENTRALBK
Central Depository Services (India) Ltd.,CDSL
Century Plyboards (India) Ltd.,CENTURYPLY
Century Textile & Industries Ltd.,CENTURYTEX
Cera Sanitaryware Ltd,CERA
Chalet Hotels Ltd.,CHALET
